chromosome,source,feature_type,start,end,score,strand,frame,gene_id,transcript_id,,exon_number,exon_id,gene_name
chr1_MU273335v1_fix,ncbiRefSeq.2022-10-28,exon,150333,150543,.,+,.,NAXE,NM_144772.3,,1,NM_144772.3.1,NAXE
chr1_MU273335v1_fix,ncbiRefSeq.2022-10-28,5UTR,150333,150361,.,+,.,NAXE,NM_144772.3,,1,NM_144772.3.1,NAXE
chr1_MU273335v1_fix,ncbiRefSeq.2022-10-28,CDS,150362,150543,.,+,0,NAXE,NM_144772.3,,1,NM_144772.3.1,NAXE
chr1_MU273335v1_fix,ncbiRefSeq.2022-10-28,exon,150658,150766,.,+,.,NAXE,NM_144772.3,,2,NM_144772.3.2,NAXE
chr1_MU273335v1_fix,ncbiRefSeq.2022-10-28,CDS,150658,150766,.,+,1,NAXE,NM_144772.3,,2,NM_144772.3.2,NAXE
chr1_MU273335v1_fix,ncbiRefSeq.2022-10-28,exon,150922,151032,.,+,.,NAXE,NM_144772.3,,3,NM_144772.3.3,NAXE
chr1_MU273335v1_fix,ncbiRefSeq.2022-10-28,CDS,150922,151032,.,+,0,NAXE,NM_144772.3,,3,NM_144772.3.3,NAXE
chr1_MU273335v1_fix,ncbiRefSeq.2022-10-28,exon,151114,151227,.,+,.,NAXE,NM_144772.3,,4,NM_144772.3.4,NAXE
chr1_MU273335v1_fix,ncbiRefSeq.2022-10-28,CDS,151114,151227,.,+,0,NAXE,NM_144772.3,,4,NM_144772.3.4,NAXE
chr1_MU273335v1_fix,ncbiRefSeq.2022-10-28,exon,151965,152112,.,+,.,NAXE,NM_144772.3,,5,NM_144772.3.5,NAXE
chr1_MU273335v1_fix,ncbiRefSeq.2022-10-28,CDS,151965,152112,.,+,0,NAXE,NM_144772.3,,5,NM_144772.3.5,NAXE
chr1_MU273335v1_fix,ncbiRefSeq.2022-10-28,exon,152439,152856,.,+,.,NAXE,NM_144772.3,,6,NM_144772.3.6,NAXE
chr1_MU273335v1_fix,ncbiRefSeq.2022-10-28,CDS,152439,152638,.,+,2,NAXE,NM_144772.3,,6,NM_144772.3.6,NAXE
chr1_MU273335v1_fix,ncbiRefSeq.2022-10-28,3UTR,152642,152856,.,+,.,NAXE,NM_144772.3,,6,NM_144772.3.6,NAXE
chr1_MU273335v1_fix,ncbiRefSeq.2022-10-28,start_codon,150362,150364,.,+,0,NAXE,NM_144772.3,,1,NM_144772.3.1,NAXE
chr1_MU273335v1_fix,ncbiRefSeq.2022-10-28,stop_codon,152639,152641,.,+,0,NAXE,NM_144772.3,,6,NM_144772.3.6,NAXE
